ID,Smiles,N Params,Solvent
165,C[Si](C1=CC=CO1)(C)C,2.16,ch2cl2
169,C[Si](C1=CC=CS1)(C)C,-0.8,ch2cl2
134,C=C(N(O[Si](C)(C)C)O[Si](C)(C)C)C1=CC=CC=C1,4.8,ch2cl2
231,C=C/C=C/O[Si](C)(C)C,4.6,ch2cl2
1126,N1(CC2=CC=CC=C2)CCN=C1C3=CC=CC=C3,13.11,ch2cl2
93,CCCC1C=CCC1,-0.88,ch2cl2
1329,O=C1OC(C)(C)OC([C-]1[I+]C2=CC=CC=C2)=O,4.36,ch2cl2
57,C=C(C)O[Si](C(C)C)(C(C)C)C(C)C,5.38,ch2cl2
797,C1CCC2C(C1)SC1=NCCCN21,13.86,ch2cl2
988,CC(C)[Si](C(C)C)C(C)C,2.93,ch2cl2
597,COC(C=C1)=CC=C1N2C=C(C(N)=O)CC=C2,8.11,ch2cl2
241,C=C(C)C[Sn](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,5.13,ch2cl2
83,C/C=C/N1CCOCC1,12.06,ch2cl2
440,ClC1=CC=NC=C1,11.7,ch2cl2
90,C1(C=CC=C2)=C2CC=CC1,-0.07,ch2cl2
1127,CC1=NCCS1,10.2,ch2cl2
150,C=CC[Si](C(C)C)(C(C)C)C(C)C,2.04,ch2cl2
162,C=C(CCCC(C)=C)C,1.69,ch2cl2
272,C=COCC,3.92,ch2cl2
1129,CC1=NCCC1,13.12,ch2cl2
97,C=CCC=C,-2.99,ch2cl2
52,C=CC[Si](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,-0.13,ch2cl2
249,CC1=CCC2CC1C2(C)C,0.68,ch2cl2
64,[H][Sn](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,5.64,ch2cl2
161,C=C(CCC(C)=C)C,1.14,ch2cl2
458,COC1=CC=C2C(C=CN2)=C1,6.22,ch2cl2
237,CCCCCC[Si](CCCCCC)(CCCCCC)C1CCC=C1,1.98,ch2cl2
70,N1(CCCCC1)C2=CCCC2,15.06,ch2cl2
86,C=C(C1=CC=CC=C1)N2CCOCC2,9.96,ch2cl2
123,C=C1CC1,-0.47,ch2cl2
387,O1CCC=C1,4.37,ch2cl2
250,CC1=CCCC1,1.18,ch2cl2
1153,C/C(C)=N/CC1=CC=CC=C1,11.13,ch2cl2
158,C=C(C)CC(C)(C)C,0.79,ch2cl2
81,CN(CC1)CCN1C2=CCCCC2,12.51,ch2cl2
1171,[H]/C([H])=N/N1CCCC1,7.84,ch2cl2
58,[SiH3]C1=CC=CC=C1,0.06,ch2cl2
246,C/C=C\C1=CC=CC=C1,-1.07,ch2cl2
124,C=C1CCC1,1.65,ch2cl2
73,CN(C1=CC=CC=C1)C2=CCCC2,12.9,ch2cl2
87,CN(/C=C/C(OCC)=O)C,9.43,ch2cl2
133,C=C(N(O[Si](C)(C)C)O[Si](C)(C)C)C,4.76,ch2cl2
593,O=C(C(CC=C1)=CN1CC2=CC=CC=C2)N,8.67,ch2cl2
63,[H][Si](CCCC)(CCCC)CCCC,3.99,ch2cl2
1331,O=C([C-](C(N1C)=O)[I+]C2=CC=CC=C2)N(C)C1=O,7.98,ch2cl2
157,C=C(C)C(C)C,0.65,ch2cl2
96,C=CC(C)([H])C=C,-3.08,ch2cl2
386,C1(O[Si](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)=CCCC1,5.76,ch2cl2
1169,[H]/C([H])=N\N(C)C,6.98,ch2cl2
1185,C=C([Si](C)(C)C)C1=CC=CC=C1,-1.13,ch2cl2
209,C1=CCC=C1,2.3,ch2cl2
239,C=CC[Ge](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,1.2,ch2cl2
201,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,14.64,ch2cl2
85,C1(/C=C/N2CCOCC2)=CC=CC=C1,10.76,ch2cl2
61,[H][Si](CC)(CC)CC,3.58,ch2cl2
1130,CC1=NCCCN1,15.21,ch2cl2
74,CN(C1=CC=CC=C1)C2=CCCCC2,10.73,ch2cl2
160,C=C(C)CC(C)=C,0.54,ch2cl2
1187,C[Si](/C=C/C1=CC=CC=C1)(C)C,-0.43,ch2cl2
385,C1(O[Si](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)=CCCO1,11.28,ch2cl2
1182,C=C([Si](C)(C)C)C,-1.46,ch2cl2
185,[H]C([H])=[N+]=[N-],10.48,ch2cl2
188,[N-]=[N+]=C(C1=CC=CC=C1)C2=CC=CC=C2,5.29,ch2cl2
1123,CC1=NCCN1,12.92,ch2cl2
1364,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,8.56,ch2cl2
99,C=CCC1=CC=CC=C1,-4.12,ch2cl2
595,O=C(C(CC=C1)=CN1C2=CC=CC=C2)N,7.53,ch2cl2
478,[C]=NC1=CC=C(C#N)C=C1,3.57,ch2cl2
98,CC(C)C1=CC=C(C)C=C1,-2.8,ch2cl2
199,CN(C(C=C1)=CC=C1P(C2=CC=C(N(C)C)C=C2)C3=CC=C(N(C)C)C=C3)C,18.39,ch2cl2
195,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,14.33,ch2cl2
156,C=C(C)C(C)(C)C,0.06,ch2cl2
196,ClC(C=C1)=CC=C1P(C2=CC=C(Cl)C=C2)C3=CC=C(Cl)C=C3,12.58,ch2cl2
243,C=C(C)CC1=CC=CC=C1,0.25,ch2cl2
596,CC(C=C1)=CC=C1N2C=C(C(N)=O)CC=C2,7.68,ch2cl2
202,CCCCP(CCCC)CCCC,15.49,ch2cl2
204,CCCCOP(OCCCC)OCCCC,10.36,ch2cl2
1128,CC1=NCCO1,9.81,ch2cl2
248,C12C=CC(C2)CC1,-0.25,ch2cl2
75,C/C(C)=C/N1CCOCC1,10.04,ch2cl2
163,C=C(CCCCC(C)=C)C,1.58,ch2cl2
197,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,15.44,ch2cl2
159,C=C(C)CC,1.0,ch2cl2
1183,C=C([Si](C)([Si](C)(C)C)C)C,-0.26,ch2cl2
1189,C=C([Si](C)(C)C)C1=CC=C(C)C=C1,-0.65,ch2cl2
1311,[H][C@@](C1=CN=CC=C1)(CCC2)N2C,10.4,ch2cl2
136,C=C(N(O[Si](C)(C)C)O[Si](C)(C)C)CCC(OC)=O,3.84,ch2cl2
1227,CC1=C(C)C([H])([H])C(C)=C(C)C1,4.27,ch2cl2
242,C/C(C)=C(C)/C,-1.0,ch2cl2
247,C1=CCCC1,-1.55,ch2cl2
245,C=C(C)C1CC1,2.6,ch2cl2
389,FC(C(F)=C(F)C(F)=C1F)=C1[Si](C2=C(F)C(F)=C(F)C(F)=C2F)(OC3=CCCC3)C4=C(F)C(F)=C(F)C(F)=C4F,1.38,ch2cl2
1199,FC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H](CCC3)N3C4=CC=NC=C4,14.57,ch2cl2
1186,C=C([Si](C)([Si](C)(C)C)C)C1=CC=CC=C1,0.61,ch2cl2
244,C=C(C)C1=CC=CC=C1,2.35,ch2cl2
1228,[H]C(C1=CC=C(OC)C=C1)([H])C2=CC=C(OC)C=C2,-2.11,ch2cl2
1225,CC1=CC([H])([H])C(C)=CC1,1.88,ch2cl2
357,C=CC1=C(C)C=C(C)C=C1C,0.68,ch2cl2
1262,C[Si](C1C2=CC=CC=C2C=C1)(C)C,-0.1,ch2cl2
1230,N1(/C=C/C2=CC=CC=C2)CCCC1C(C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5,10.19,ch2cl2
1191,CC(C=C1)=CC=C1S(N(CC2=CC=CC=C2)C#CC3=CC=CC=C3OC)(=O)=O,4.4,ch2cl2
1226,CC1=CC(C)([H])C=C(C)C1,4.95,ch2cl2
1229,N1(/C=C/C2=CC=CC=C2)CCCC1,12.26,ch2cl2
135,C=C(N(O[Si](C)(C)C(C)(C)C)O[Si](C)(C)C(C)(C)C)C,4.23,ch2cl2
1363,COC1=CC=CC=C1P(C2=CC=CC=C2OC)C3=CC=CC=C3OC,14.26,ch2cl2
1445,[H]C(C1=CC=C(Br)C=C1)=[N+]=[N-],8.87,ch2cl2
1318,C1(N2CCOCC2)=CC=NC=C1,14.59,ch2cl2
1360,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,15.19,ch2cl2
1190,CCC#CN(CC1=CC=CC=C1)S(C2=CC=C(C)C=C2)(=O)=O,5.16,ch2cl2
1315,CN1CCCC1C2=CC=CC=C2,16.8,ch2cl2
1193,O=C1N(C#CC2=CC=CC=C2)CCC1,3.12,ch2cl2
