ID,Smiles,N Params,Solvent
1542,C1([Si](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)NCCC1,14.0,acetonitrile
1516,CC1NCCC1,16.78,acetonitrile
1544,O=C1[C@H](CC2=CC=CC=C2)N[C@H](C(C)(C)C)N1C,5.44,acetonitrile
1519,CC1(C)NCCC1,13.96,acetonitrile
1523,CN(C[C@H]1NCCC1)C,17.41,acetonitrile
1518,CC(C)[C@@H]1NCCC1,16.44,acetonitrile
1521,[C@H]1(C(C2=CC=CC=C2)C3=CC=CC=C3)NCCC1,16.61,acetonitrile
1506,[O-]C1=CC=C(C(C)(C)C)C=C1,21.7,acetonitrile
1509,[O-]C1=CC=C(OC)C=C1,20.62,acetonitrile
1511,[O-]C1=CC=CC(OC)=C1,18.81,acetonitrile
1536,S=C(NC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)NC[C@H]2NCCC2,14.97,acetonitrile
1534,[C@H]1(CN2C=NC=C2)NCCC1,15.55,acetonitrile
1560,C12=CN=CC3=C1N(CCC3)CCC2,15.6,acetonitrile
1563,C1SCCC1,13.3,acetonitrile
1628,C1(N2CCCC2)=CC=NC=C1,14.99,acetonitrile
1666,CC1(C)N(/C=C/C2=CC=CC=C2)C(C)(C)C(N1C)=S,6.49,acetonitrile
1662,CC1(C)N(/C=C/C(C)C2=CC=CC=C2)C(C)(C)C(SCC)=N1,7.92,acetonitrile
1690,C=C1N(C)C=CC=C1C,19.69,acetonitrile
1661,CC1(C)N(/C=C/CC2=CC=CC=C2)C(C)(C)C(SCC)=N1,9.64,acetonitrile
1631,CC1(C)N(/C=C/C2=CC=CC=C2)C(C)(C)C(SCC#N)=N1,7.74,acetonitrile
1630,C/C=C/N1C(C)(C)C(SCC#N)=NC1(C)C,9.25,acetonitrile
1659,CC1(C)N(/C=C/C2=CC=CC=C2)C(C)(C)C(SCC)=N1,8.12,acetonitrile
1675,CC1=NC=CC=C1,10.98,acetonitrile
1660,CCSC1=NC2(CCCC2)N(/C=C/C3=CC=CC=C3)C14CCCC4,7.79,acetonitrile
1663,CC1(C)N(/C=C/C2=CC=CC=C2)C(C)(C)C(SCC3=CC=CC=C3)=N1,8.3,acetonitrile
1665,CC1(C)N(/C=C/C2=CC=CC=C2)C(C)(C)C(N1C)=O,7.1,acetonitrile
1658,CC1(C)N(/C=C/CC)C(C)(C)C(SCC#N)=N1,9.23,acetonitrile
1677,CC1=NC(C)=CC=C1,9.11,acetonitrile
1684,CC1=NC(C)=CC(C)=C1,9.39,acetonitrile
1673,N1=CC=CC=C1,13.6,acetonitrile
1715,O=S([N-]C1=CC=NC=C1)(C2=CC=C(C)C=C2)=O,17.19,acetonitrile
1713,O=S([N-]C1=CC=NC=C1)(C2=CC=C(OC)C=C2)=O,17.28,acetonitrile
1712,O=S([N-]C1=CC=NC=C1)(C(F)(F)F)=O,16.38,acetonitrile
1714,O=S([N-]C1=CC=NC=C1)(C2=CC=C(C(F)(F)F)C=C2)=O,19.51,acetonitrile
1717,O=S([N-]C1=CC=NC=C1)(C(F)(F)F)=O,16.68,acetonitrile
1716,O=S([N-]C1=CC=NC=C1)(C(F)(F)F)=O,16.48,acetonitrile
